1533.14	10.86	0.10	0.11	125                                                     
1543.10	10.85	0.09	0.10	126                                                     
1553.05	10.84	0.12	0.11	127                                                     
1563.01	10.83	0.09	0.10	128                                                     
1572.97	10.82	0.10	0.10	129                                                     
1582.92	10.81	0.09	0.10	130                                                     
1592.88	10.80	0.09	0.10	131                                                     
1602.83	10.79	0.10	0.10	132                                                     
1612.79	10.77	0.10	0.10	133                                                     
1622.74	10.76	0.10	0.10	134                                                     
1632.70	10.75	0.09	0.10	135                                                     
1642.65	10.73	0.10	0.10	136                                                     
1652.61	10.72	0.10	0.10	137                                                     
1662.56	10.70	0.10	0.10	138                                                     
1672.52	10.69	0.09	0.10	139                                                     
1682.47	10.67	0.11	0.11	140                                                     
1692.43	10.65	0.09	0.10	141                                                     
1702.38	10.63	0.11	0.11	142                                                     
1712.34	10.61	0.11	0.11	143                                                     
1722.29	10.59	0.11	0.11	144                                                     
1732.25	10.57	0.11	0.11	145                                                     
1742.20	10.55	0.12	0.12	146                                                     
1752.15	10.53	0.10	0.11	147                                                     
1762.11	10.51	0.10	0.11	148                                                     
1772.06	10.49	0.09	0.10	149                                                     
1782.02	10.47	0.09	0.10	150                                                     
1791.97	10.44	0.09	0.10	151                                                     
1801.92	10.42	0.09	0.10	152                                                     
1811.88	10.39	0.09	0.10	153                                                     
1821.83	10.37	0.09	0.10	154                                                     
1831.78	10.34	0.09	0.10	155                                                     
1841.73	10.32	0.09	0.10	156                                                     
1851.69	10.29	0.09	0.10	157                                                     
1861.64	10.26	0.09	0.10	158                                                     
1871.59	10.23	0.09	0.10	159                                                     
1881.54	10.21	0.09	0.10	160                                                     
1878.30	11.18	0.08	0.10	161                                                     
1888.34	11.16	0.08	0.10	162                                                     
1898.39	11.14	0.09	0.11	163                                                     
1908.43	11.13	0.08	0.10	164                                                     
1918.46	11.11	0.08	0.10	165                                                     
1928.50	11.09	0.08	0.10	166                                                     
1938.53	11.08	0.09	0.10	167                                                     
1948.56	11.06	0.08	0.10	168                                                     
1958.59	11.04	0.09	0.11	169                                                     
1968.62	11.02	0.11	0.11	170                                                     
1978.64	11.01	0.08	0.11	171                                                     
1988.67	10.99	0.09	0.11	172                                                     
1998.69	10.97	0.09	0.10	173                                                     
2008.70	10.95	0.09	0.11	174                                                     
2018.72	10.94	0.09	0.11	175                                                     
2028.73	10.92	0.09	0.11	176                                                     
2038.74	10.90	0.09	0.11	177                                                     
2048.75	10.88	0.10	0.10	178                                                     
2058.76	10.87	0.09	0.11	179                                                     
2068.76	10.85	0.09	0.11	180                                                     
2078.77	10.83	0.09	0.11	181                                                     
2088.77	10.81	0.10	0.11	182                                                     
2098.77	10.80	0.09	0.11	183                                                     
2108.76	10.78	0.09	0.11	184                                                     
2118.76	10.76	0.09	0.11	185                                                     
2128.75	10.74	0.09	0.10	186                                                     
2138.74	10.72	0.09	0.11	187                                                     
2148.72	10.71	0.09	0.11	188                                                     
2158.71	10.69	0.09	0.11	189                                                     
2168.69	10.67	0.09	0.11	190                                                     
2178.67	10.65	0.10	0.11	191                                                     
2188.65	10.63	0.09	0.10	192                                                     
2198.63	10.62	0.09	0.11	193                                                     
2208.60	10.60	0.08	0.11	194                                                     
2218.57	10.58	0.08	0.11	195                                                     
2228.54	10.56	0.10	0.11	196                                                     
2238.51	10.54	0.09	0.11	197                                                     
2248.48	10.52	0.09	0.11	198                                                     
2258.44	10.50	0.09	0.11	199                                                     
2268.40	10.49	0.09	0.11	200                                                     
2278.36	10.47	0.09	0.11	201                                                     
2288.32	10.45	0.09	0.11	202                                                     
2298.27	10.43	0.09	0.11	203                                                     
2308.22	10.41	0.10	0.11	204                                                     
2318.17	10.39	0.12	0.11	205                                                     
2328.12	10.37	0.12	0.11	206                                                     
2338.07	10.35	0.09	0.11	207                                                     
2348.01	10.34	0.10	0.11	208                                                     
2357.95	10.32	0.09	0.11	209                                                     
2367.89	10.30	0.09	0.11	210                                                     
2377.83	10.28	0.09	0.11	211                                                     
2387.76	10.26	0.09	0.11	212                                                     
2397.69	10.24	0.09	0.11	213                                                     
